date,keyword,title,final_score,sentiment_score,url
"2025-12-01","rare earth","The Rare Earth Metal Driving Tensions Between the US and China - WIRED",77.5,-0.8,"https://www.wired.com/story/yttrium-rare-earth-metal-china-us/"
"2025-12-01","rare earth","Australian miners thrust into spotlight as yttrium rockets 4,000% - Mining.com.au",71.67,0.7,"https://mining.com.au/australian-miners-thrust-into-spotlight-as-yttrium-rockets-4000/"
"2025-12-01","rare earth","Foreign media on Kazakhstan: Kazakhstan enters global rare earth metals arena; How Kazakhstan’s female entrepreneurs leading Central Asia’s tech revolution - Qazinform",71.67,0.6,"https://qazinform.com/amp/foreign-media-on-kazakhstan-kazakhstan-enters-global-rare-earth-metals-arena-how-kazakhstans-female-entrepreneurs-leading-central-asias-tech-revolution-6486d9/"
"2025-12-01","rare earth","Sunday Edition: 30th November - Next Investors",60,0.7,"https://nextinvestors.com/articles/sunday-edition-30th-november/"
"2025-12-01","rare earth","Victoria strengthens critical minerals capabilities with green light at Goschen - Australian Mining",60,0.7,"https://www.australianmining.com.au/victoria-critical-minerals-green-light-goschen/"
"2025-12-01","rare earth","The Capital Crunch: VHM enters last stage of financing - Mining.com.au",60,0.2,"https://mining.com.au/the-capital-crunch-vhm-enters-last-stage-of-financing-package/"
"2025-12-01","rare earth","2 Monster Stocks to Hold for the Next 5 Years - The Motley Fool",77.5,0.8,"https://www.fool.com/investing/2025/11/30/2-monster-stocks-to-hold-for-the-next-5-years/"
"2025-12-01","rare earth","One discovery that Oriented 2025: 12 Days of Christmas - Mining.com.au",65.83,0.7,"https://mining.com.au/one-discovery-that-shaped-2025-12-days-of-christmas/"
"2025-12-01","rare earth","This Mining Stock Is Up 385% in 2025. 1 Reason This Could Be Just the Beginning. - AOL.com",54.17,0.6,"https://www.aol.com/articles/mining-stock-385-2025-1-093500725.html"
"2025-12-01","rare earth","High gold prices hit demand across major Asian hubs - Mining.com",60,-0.5,"https://www.mining.com/web/high-gold-prices-hit-demand-across-major-asian-hubs/"
"2025-12-01","rare earth","Gold price to reach new highs in 2026: Goldman poll - Mining.com",48.33,0.7,"https://www.mining.com/gold-price-to-reach-new-highs-in-2026-goldman-poll/"
"2025-12-01","rare earth","Meta Platforms may signal major AI market shift in 2026 - TheStreet",71.67,-0.2,"https://www.thestreet.com/investing/meta-platforms-may-signal-major-ai-market-shift-in-2026"
"2025-12-01","rare earth","Zijin founder who built the $100 billion Chinese miner retires - Mining.com",54.17,0.6,"https://www.mining.com/web/zijin-founder-who-built-the-100-billion-chinese-miner-retires/"
"2025-12-01","rare earth","Exploration funding reaches ‘turning point’ in Australia: report - Australian Mining",71.67,0.9,"https://www.australianmining.com.au/exploration-funding-reaches-turning-point-in-australia-report/"
"2025-12-01","tesla","Here's What Tesla's New Range of Affordable Electric Cars Cost - CNET",60,0.7,"https://www.cnet.com/home/electric-vehicles/heres-what-teslas-new-range-of-affordable-electric-cars-cost/"
"2025-12-01","tesla","Market Data - TheStreet",48.33,0.3,"https://www.thestreet.com/investing/for-now-maybe-through-holidays-stocks-should-move-ahead"
"2025-12-01","tesla","Another EV Charging Hub Running On Renewable Energy Launches In California - CleanTechnica",54.17,0.6,"https://cleantechnica.com/2025/11/30/another-ev-charging-hub-running-on-renewable-energy-launches-in-california/"
"2025-12-01","tesla","Intel Stock Price Forecast 2026: Can INTC’s AI and Apple Hopes Power the Next Leg Higher? - ts2.tech",77.5,0.2,"https://ts2.tech/en/intel-stock-price-forecast-2026-can-intcs-ai-and-apple-hopes-power-the-next-leg-higher/"
"2025-12-01","tesla","Considering Buying a $20K Home Robot? There's Something You Need to Know First - CNET",54.17,-0.2,"https://www.cnet.com/tech/considering-buying-a-20k-home-robot-theres-something-you-need-to-know-first/"
"2025-12-01","tesla","BYD Atto 2: First test of the Plug-In at NIS 150,000 - The Jerusalem Post",48.33,0.5,"https://www.jpost.com/consumerism/article-875001"
"2025-12-01","tesla","UK Autumn Budget: EV mileage tax prompts fleet cost concerns - Motor Finance Online",77.5,-0.7,"https://www.motorfinanceonline.com/news/uk-autumn-budget-ev-mileage-tax-prompts-fleet-cost-concerns/"
"2025-12-01","tesla","Petersen Museum's Newest Exhibit Showcases Iconic Off-Road Racers - Car and Driver",13.33,0.4,"https://www.caranddriver.com/news/a69560711/petersen-museum-legends-of-the-dirt-exhibit/"
"2025-12-01","tesla","Bloom Energy (BE) Stock Outlook Before December 1, 2025 Open: AI Data Center Hype, Insider Selling and Bubble Fears - ts2.tech",71.67,-0.2,"https://ts2.tech/en/bloom-energy-be-stock-outlook-before-december-1-2025-open-ai-data-center-hype-insider-selling-and-bubble-fears/"
"2025-12-01","tesla","E-Bikes Are Surging in Popularity. What Will It Take to Rein Them in? - The New York Times",60,-0.7,"https://www.nytimes.com/2025/11/30/magazine/e-bikes-accidents-safety-legislation-california.html"
"2025-12-01","tesla","Why do EV charging attempts fail? ChargerHelp’s Kameale Terry explains. - Automotive News",36.67,0,"https://www.autonews.com/podcasts/shift/an-shift-podcast-ev-charging-kameale-terry-1230/"
"2025-12-01","tesla","This Early Cyber Monday Deal Cuts the 15-Inch M2 MacBook Air to 40% Off - Lifehacker",19.17,0.6,"https://lifehacker.com/tech/m2-macbook-air-stacksocial-black-friday-early-cyber-monday-deal-2025"
"2025-12-01","tesla","Many Green Shipping Corridors Stalled - Marine News Magazine",54.17,-0.2,"https://www.marinelink.com/news/green-shipping-corridors-stalled-532978"
"2025-12-01","tesla","Fortescue Delivers Large Scale BYD Battery Energy Storage System To North Star Junction - TradingView",54.17,0,"https://www.tradingview.com/news/reuters.com,2025:newsml_FWN3X602U:0-fortescue-delivers-large-scale-byd-battery-energy-storage-system-to-north-star-junction/"
